Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,0.317000,-314.031494,-763.784363,-134.599045,-285.482513,-754.407593,-227.419373,-342.189148,-275.689087,-120.128387,-287.121674,-627.506470,-247.078659,-318.584625,-218.506424,-196.524811,-304.794189,-321.740479,-272.258759,-282.017517,-600.234253,-390.836975,-302.319153,-253.142990,-405.175842,-312.965515,-428.171204,-440.352905
39,0.325000,-314.098969,-761.827942,-134.162537,-285.440643,-753.200928,-227.037521,-342.356537,-273.903839,-120.182617,-287.269135,-626.414185,-247.607422,-318.587891,-217.813583,-197.517975,-305.054291,-321.463074,-272.443817,-282.076233,-600.867126,-391.594391,-302.232056,-253.879105,-405.891937,-312.988495,-428.714661,-441.127502
40,0.333000,-314.131653,-759.901428,-133.964874,-285.334229,-751.907715,-226.807617,-342.520081,-272.267609,-120.276131,-287.524994,-625.376282,-247.959229,-318.819336,-217.345795,-198.431839,-305.218567,-321.415680,-272.918457,-282.108551,-601.467285,-392.250916,-302.334747,-254.373230,-406.594635,-313.059906,-429.395142,-441.791840
41,0.342000,-314.373627,-757.943909,-133.705597,-285.487427,-750.898376,-226.607681,-342.691650,-270.474335,-120.461945,-287.628723,-624.500854,-248.534775,-318.984528,-216.813995,-199.472183,-305.335144,-321.357697,-273.496948,-282.073883,-602.067932,-392.965118,-302.463257,-254.999817,-407.605042,-313.120087,-430.032898,-442.651337
42,0.350000,-314.513458,-756.254944,-133.509369,-285.599670,-750.034485,-226.429886,-342.899017,-268.795410,-120.529083,-287.698517,-623.764771,-249.184143,-319.033142,-216.706650,-200.553192,-305.430115,-321.310608,-274.167664,-281.989380,-602.693359,-393.884277,-302.667053,-255.711945,-408.645844,-313.049133,-430.711700,-443.722931
43,0.358000,-314.674927,-754.495239,-133.262253,-285.662384,-749.195007,-226.243011,-342.920959,-267.244659,-120.643768,-287.669067,-623.128662,-250.083618,-319.037781,-216.586761,-201.487930,-305.455292,-321.334808,-274.977600,-281.813934,-603.402832,-394.951721,-302.954834,-256.475464,-409.700439,-313.055054,-431.590149,-444.747528
44,0.367000,-314.888977,-752.536377,-132.846390,-285.564758,-748.397644,-226.039963,-343.107056,-265.718170,-120.714012,-287.532318,-622.503357,-250.985596,-319.031433,-216.680496,-202.600967,-305.365997,-321.471802,-275.923279,-281.690308,-604.328003,-396.050964,-302.715729,-257.331024,-410.983398,-312.960846,-432.385376,-446.018982
45,0.375000,-314.911560,-750.742004,-132.775375,-285.412140,-747.572021,-225.885406,-343.164734,-264.194031,-120.875336,-287.455292,-621.939819,-252.044083,-318.930786,-216.931625,-203.770370,-305.351685,-321.734894,-276.908966,-281.582458,-605.347961,-397.291901,-302.574493,-258.313629,-412.356812,-312.863892,-433.432831,-447.295563
46,0.383000,-314.871460,-749.026917,-132.717865,-285.418945,-746.729126,-225.764908,-343.239502,-262.904968,-121.069511,-287.411835,-621.378601,-253.117889,-318.840729,-217.346741,-204.894791,-305.242523,-322.208588,-277.842468,-281.575653,-606.514526,-398.594055,-302.562866,-259.470032,-413.572754,-312.783752,-434.552368,-448.588562
47,0.392000,-315.280212,-747.215515,-132.474670,-285.626617,-746.067505,-225.684540,-343.219116,-261.674469,-121.253494,-287.404724,-621.023926,-254.407608,-318.543793,-218.152420,-206.110886,-305.020996,-323.100342,-278.862061,-281.616272,-607.724121,-400.006378,-302.260254,-260.776093,-414.743561,-312.720032,-435.753357,-449.864471
48,0.400000,-315.533081,-745.528809,-132.421600,-285.935120,-745.478821,-225.658142,-342.714752,-260.918030,-121.699402,-287.512665,-620.700806,-255.599258,-318.152191,-219.066635,-207.275940,-304.818390,-324.106171,-279.912598,-281.654907,-609.019409,-401.338165,-301.678894,-262.111481,-416.021362,-312.596832,-436.943451,-451.092285
49,0.408000,-315.423706,-743.873230,-132.384720,-286.145813,-744.891357,-225.563858,-341.824982,-261.860504,-122.729904,-287.564606,-620.423828,-256.854370,-317.422394,-220.229401,-208.483856,-304.250183,-325.317200,-281.085052,-281.561249,-610.332092,-402.684052,-301.713043,-263.233093,-417.054565,-312.472076,-438.200714,-452.352936
50,0.417000,-315.446503,-742.132080,-132.327667,-286.189331,-744.247559,-225.451889,-340.814117,-264.151825,-123.861237,-287.427399,-620.273560,-258.272064,-316.225830,-222.158020,-209.513336,-303.610748,-326.952148,-282.579346,-281.511169,-611.564331,-404.151123,-301.266663,-264.528687,-418.423431,-312.361847,-439.481750,-453.754639
51,0.425000,-315.433167,-740.272461,-132.220657,-286.116455,-743.618713,-225.338013,-339.017212,-266.652679,-124.954559,-287.097321,-620.029663,-259.683838,-314.947784,-224.555237,-210.657074,-302.784454,-329.010956,-284.310944,-281.304138,-612.887329,-405.748657,-301.076569,-265.765961,-419.717010,-312.198120,-440.670990,-455.139771
