Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,0.317000,-315.046326,-719.892761,-135.198273,-284.262817,-718.073853,-228.501770,-336.620300,-342.535461,-154.064758,-284.209686,-597.961975,-274.800964,-311.457397,-295.013580,-236.327774,-295.839783,-379.522003,-331.839783,-274.334961,-622.736023,-418.791718,-305.761353,-451.563171,-471.491669,-295.455200,-275.407288,-440.062866
39,0.325000,-315.201599,-717.770508,-135.348297,-284.294800,-716.134644,-228.562057,-337.074524,-348.039215,-155.673859,-284.436890,-596.279297,-275.248260,-312.023346,-298.874908,-236.940598,-296.184937,-381.542206,-334.160919,-274.196289,-622.688477,-418.917725,-305.735504,-451.525757,-471.791290,-295.829956,-275.368195,-440.389557
40,0.333000,-315.224884,-715.588989,-135.518112,-284.244232,-714.303955,-228.790039,-337.383240,-353.806366,-157.354797,-284.718719,-594.492920,-275.817444,-312.351318,-303.016296,-237.778168,-296.317413,-383.480927,-336.565704,-274.036743,-622.577393,-419.170685,-305.842957,-451.530518,-472.119843,-296.433319,-275.247192,-440.742035
41,0.342000,-315.229401,-713.446411,-135.762772,-284.180267,-712.549194,-228.917648,-337.523987,-359.159454,-159.238388,-284.807007,-593.008911,-276.479553,-312.658569,-306.883911,-238.692078,-296.527374,-385.331848,-338.924622,-273.906189,-622.528809,-419.504669,-305.963715,-451.633636,-472.533966,-296.859711,-275.197723,-441.132263
42,0.350000,-315.233917,-711.346619,-135.917908,-284.110596,-710.883545,-229.085449,-337.632446,-364.690735,-161.028091,-284.991211,-591.499451,-277.112640,-313.068359,-310.761261,-239.476318,-296.716522,-387.268188,-341.273010,-273.863922,-622.593567,-419.765442,-306.132019,-451.738586,-472.849091,-297.303528,-275.328125,-441.548737
43,0.358000,-315.309113,-709.372681,-136.124298,-284.140045,-709.450867,-229.280731,-337.986633,-369.941772,-162.987915,-285.213837,-590.249390,-277.717377,-313.534790,-314.473358,-240.235260,-297.051392,-389.026550,-343.440674,-273.996735,-622.795593,-419.980804,-306.281647,-451.962646,-473.188538,-297.646759,-275.534271,-441.979492
44,0.367000,-315.361176,-707.747803,-136.360794,-284.320038,-708.089050,-229.558990,-338.439240,-375.079956,-164.744904,-285.589386,-589.025574,-278.316193,-313.784058,-318.108368,-241.023438,-297.165558,-390.613525,-345.574463,-274.229492,-623.150208,-420.257629,-306.518738,-452.221710,-473.544312,-297.941528,-275.831390,-442.468292
45,0.375000,-315.524658,-706.411804,-136.674957,-284.693573,-707.119934,-229.809387,-338.599579,-380.029968,-166.309402,-285.904877,-588.247925,-278.907715,-314.103333,-321.459412,-241.308365,-297.506195,-391.899506,-347.205078,-274.571686,-623.546143,-420.494171,-306.804596,-452.732239,-473.921478,-298.119690,-276.258820,-442.992310
46,0.383000,-315.862640,-705.451660,-137.020142,-285.152740,-706.515137,-230.225433,-338.757141,-384.123566,-167.104706,-286.276306,-587.706665,-279.454773,-314.159058,-324.177490,-240.999313,-297.855652,-392.716400,-348.064545,-274.999176,-624.105164,-420.768402,-307.059875,-453.271454,-474.359985,-298.246857,-276.826996,-443.539001
47,0.392000,-316.247314,-704.719788,-137.611938,-285.665894,-706.429443,-230.790482,-338.773285,-387.085968,-167.267227,-286.539429,-587.549988,-279.929352,-314.266449,-326.000519,-240.242310,-297.858002,-393.062042,-348.277893,-275.497711,-624.682129,-421.088684,-307.346985,-453.918823,-474.702728,-298.130524,-277.470245,-444.039734
48,0.400000,-316.777008,-704.370300,-138.360016,-286.249603,-706.753723,-231.489273,-338.747803,-389.152954,-167.439697,-286.857483,-587.740845,-280.324280,-314.206970,-327.267639,-239.715851,-297.615387,-393.539551,-348.304932,-275.974670,-625.418823,-421.379211,-307.625977,-454.586914,-475.001587,-298.149994,-278.097504,-444.354370
49,0.408000,-317.328003,-704.611206,-139.201691,-286.806213,-707.460938,-232.303619,-338.239197,-390.396942,-168.060150,-287.168396,-588.236511,-280.632782,-314.095551,-327.919952,-239.825272,-297.817932,-394.261749,-348.435974,-276.334106,-626.052551,-421.613617,-307.876251,-455.154694,-475.089539,-298.262054,-278.737427,-444.314606
50,0.417000,-317.763611,-705.523254,-139.999542,-287.284424,-708.591858,-233.170853,-337.809631,-391.556580,-169.282578,-287.498718,-589.025085,-280.732788,-313.848206,-328.075409,-240.129715,-298.042297,-395.018402,-348.492432,-276.754669,-626.664307,-421.696930,-308.213226,-455.747772,-474.998108,-298.398499,-279.396240,-444.150513
51,0.425000,-318.006439,-707.211548,-141.035980,-287.596924,-709.877502,-234.273117,-337.107300,-392.731659,-170.789246,-287.781464,-590.013672,-280.688171,-313.552734,-327.788422,-240.450912,-298.048553,-395.721985,-348.305756,-277.176880,-627.279480,-421.752960,-308.517273,-456.260254,-474.900848,-298.543304,-279.886230,-443.865295
52,0.433000,-318.074585,-709.355286,-142.196930,-287.845520,-711.504761,-235.449570,-336.643463,-393.368378,-171.804993,-287.967896,-591.100586,-280.515015,-313.252899,-327.378784,-240.641342,-298.104187,-396.278870,-347.945007,-277.611115,-627.914062,-421.727875,-308.806732,-456.765808,-474.681183,-298.598267,-280.490204,-443.513184
53,0.442000,-317.916901,-712.101868,-143.468155,-287.800507,-713.433472,-236.786209,-336.082153,-393.684998,-172.303543,-288.204742,-592.364563,-280.178772,-313.063568,-327.117096,-240.657440,-298.181305,-396.797089,-347.505707,-278.019287,-628.447205,-421.564301,-309.095947,-457.327271,-474.417511,-298.722870,-281.048920,-443.203125
54,0.450000,-317.851257,-715.486023,-144.735107,-287.775055,-715.495483,-238.283844,-336.051636,-393.962433,-172.458282,-288.273621,-593.804626,-279.646118,-312.893555,-327.030609,-240.457306,-298.273224,-397.042328,-347.021454,-278.438019,-628.928467,-421.329041,-309.421906,-457.778595,-474.103546,-298.770020,-281.522675,-442.927948
55,0.458000,-317.301727,-719.140381,-146.247101,-287.646606,-717.829407,-239.815231,-335.991974,-394.621063,-172.597336,-288.360352,-595.410828,-279.039398,-312.897644,-327.039459,-239.932877,-298.297882,-397.163422,-346.518311,-278.836243,-629.327515,-421.051666,-309.688354,-458.080292,-473.820007,-298.807648,-281.829865,-442.607727
56,0.467000,-317.066254,-723.281555,-147.748276,-287.599335,-720.338562,-241.229355,-335.932190,-395.571045,-172.613464,-288.405487,-597.308899,-278.304779,-312.872528,-327.316833,-239.306198,-298.327087,-397.280090,-346.035217,-279.118683,-629.540710,-420.694275,-309.894135,-458.349182,-473.465424,-298.882721,-282.072937,-442.239075
57,0.475000,-316.750854,-727.793335,-149.337250,-287.432709,-723.009827,-242.735947,-335.825348,-396.390137,-172.341248,-288.425446,-599.350586,-277.481506,-312.756927,-327.839355,-238.672775,-298.454498,-397.390594,-345.564697,-279.359100,-629.618286,-420.262756,-310.157715,-458.420197,-472.931458,-298.996124,-282.187744,-441.776794
58,0.483000,-316.525787,-732.595581,-151.099945,-287.349487,-725.889954,-244.379364,-335.603424,-397.640320,-172.309891,-288.586121,-601.468018,-276.555786,-312.650055,-328.440979,-237.861725,-298.526703,-397.463257,-345.168488,-279.553558,-629.605835,-419.772217,-310.368408,-458.463196,-472.381073,-299.153839,-282.107758,-441.252350
59,0.492000,-316.460114,-737.521606,-152.945053,-287.371887,-728.843689,-246.242706,-335.444580,-399.090912,-171.967941,-288.711670,-603.724976,-275.608612,-312.559937,-329.105865,-236.805710,-298.572662,-397.432037,-344.682678,-279.694000,-629.487122,-419.276428,-310.484558,-458.183472,-471.771820,-299.275421,-281.938293,-440.568451
60,0.500000,-316.624664,-742.596497,-154.761734,-287.404510,-731.884460,-248.203720,-335.398590,-400.394623,-171.124207,-288.797791,-606.057617,-274.612152,-312.473328,-329.941956,-235.501862,-298.643707,-397.239136,-343.919891,-279.808563,-629.252075,-418.720612,-310.593567,-457.785950,-471.072235,-299.367096,-281.689331,-439.706024
61,0.508000,-317.238647,-748.068359,-157.126053,-287.418365,-735.010132,-250.307953,-335.586914,-401.890869,-170.278854,-288.920959,-608.558899,-273.574982,-312.816040,-330.798737,-233.764374,-298.738403,-396.902771,-343.011536,-279.870789,-628.884766,-418.137634,-310.571625,-457.429626,-470.328064,-299.427338,-281.326874,-438.740875
62,0.517000,-317.131165,-753.606018,-159.780792,-287.422821,-738.081970,-252.465637,-335.861023,-403.264893,-169.241455,-288.967316,-611.062134,-272.552368,-313.145813,-331.550201,-232.089050,-298.909058,-396.434814,-341.991089,-279.888977,-628.475281,-417.492340,-310.562561,-456.951660,-469.403534,-299.438904,-280.872437,-437.709503
63,0.525000,-317.067780,-759.181580,-162.380890,-287.362030,-741.145447,-254.564758,-336.203522,-404.578461,-168.009888,-289.033752,-613.695190,-271.421875,-313.722168,-332.329193,-230.092514,-299.052948,-395.945374,-340.831696,-279.840729,-627.865784,-416.638641,-310.530090,-456.341064,-468.518158,-299.470490,-280.235870,-436.480743
64,0.533000,-317.081268,-764.884216,-164.806091,-287.262787,-744.332703,-256.683044,-336.468445,-405.744598,-166.571259,-288.969299,-616.365112,-270.205750,-313.943726,-333.060486,-228.211899,-299.110138,-395.267242,-339.668060,-279.838745,-627.242004,-415.735779,-310.549194,-455.655396,-467.313141,-299.525421,-279.538666,-435.190430
65,0.542000,-317.058441,-770.383057,-167.473969,-286.971893,-747.354553,-258.817810,-336.751007,-406.721008,-164.853210,-288.923096,-619.093262,-268.883087,-314.186340,-333.712219,-226.128174,-299.433716,-394.437134,-338.228943,-279.832062,-626.536621,-414.688812,-310.478394,-454.732086,-466.167786,-299.575745,-278.708252,-433.810852
66,0.550000,-316.089844,-776.143860,-170.691925,-286.648560,-750.340271,-260.977600,-336.891724,-407.271973,-162.779602,-288.938385,-621.779968,-267.600250,-314.391510,-334.131500,-223.845490,-299.523407,-393.434814,-336.786285,-279.737488,-625.578125,-413.463013,-310.477203,-453.862854,-464.812378,-299.663879,-277.814392,-432.454590
67,0.558000,-315.499969,-781.618958,-173.688004,-286.326599,-753.105591,-263.158752,-336.743530,-407.759918,-160.558975,-288.840912,-624.387268,-266.218536,-314.563019,-334.405548,-221.513168,-299.393677,-392.226135,-335.311462,-279.693451,-624.538818,-412.253693,-310.355927,-452.806122,-463.614197,-299.721222,-276.721588,-431.075195
68,0.567000,-314.878204,-786.927307,-176.839203,-285.838318,-755.694519,-265.412811,-336.657715,-408.026581,-158.230072,-288.605286,-627.030762,-264.996643,-314.566345,-334.608704,-219.148331,-299.499023,-390.816498,-333.686066,-279.604889,-623.406006,-410.924072,-310.381653,-451.708496,-462.207672,-299.761017,-275.605316,-429.743652
69,0.575000,-314.355865,-792.029419,-180.001984,-285.452667,-758.015869,-267.651489,-336.580475,-407.981201,-155.796783,-288.369415,-629.441528,-263.784546,-314.624817,-334.540436,-216.657990,-299.493134,-389.419983,-332.044373,-279.473419,-622.133484,-409.611023,-310.396271,-450.420410,-460.845673,-299.886963,-274.356750,-428.322815
70,0.583000,-313.413483,-796.936340,-183.253571,-284.879028,-760.167847,-269.776123,-336.471252,-407.694366,-153.295975,-288.123291,-631.809509,-262.560089,-314.555389,-334.377625,-214.276871,-299.532898,-387.744537,-330.304596,-279.471863,-620.980469,-408.264343,-310.371490,-449.244751,-459.481934,-299.881439,-273.088348,-427.001678
71,0.592000,-312.409210,-801.612854,-186.351990,-284.169922,-762.287048,-271.932953,-336.301208,-407.157410,-150.689789,-287.783051,-634.105286,-261.566376,-314.369873,-334.026489,-211.845963,-299.417480,-386.135193,-328.574646,-279.402435,-619.615967,-406.959747,-310.354034,-447.941711,-458.139832,-299.765808,-271.916077,-425.669189
72,0.600000,-311.592682,-805.883484,-189.281540,-283.611786,-764.144226,-273.801819,-336.160065,-406.292358,-147.917755,-287.436188,-636.264954,-260.577850,-314.268127,-333.339966,-209.316452,-299.451508,-384.305878,-326.595764,-279.514618,-618.377991,-405.683533,-310.319061,-446.607269,-456.796387,-299.743774,-270.531891,-424.295044
73,0.608000,-310.801056,-809.888123,-192.108826,-283.050598,-765.916687,-275.655731,-335.908478,-405.189545,-145.114761,-287.102539,-638.297119,-259.705200,-314.075409,-332.401825,-206.843719,-299.308533,-382.427917,-324.550842,-279.497162,-617.053833,-404.487457,-310.399170,-445.320801,-455.386566,-299.585052,-269.266083,-422.915619
74,0.617000,-310.090240,-813.415344,-194.852631,-282.713013,-767.609375,-277.274078,-335.559296,-403.537079,-142.060944,-286.777466,-640.274475,-259.032776,-313.598572,-331.279938,-204.318512,-299.163696,-380.432434,-322.485748,-279.552826,-615.815186,-403.286285,-310.348724,-443.945709,-454.186554,-299.451477,-267.979645,-421.565338
75,0.625000,-309.464661,-816.828918,-197.330078,-282.483032,-769.197205,-278.855011,-335.100708,-401.711945,-139.074631,-286.532196,-642.218079,-258.318054,-312.985291,-329.797729,-201.925888,-299.079712,-378.234924,-320.188019,-279.661072,-614.418518,-402.093201,-310.373535,-442.558472,-452.793182,-299.236267,-266.660309,-420.116180
76,0.633000,-309.258453,-819.709167,-199.425262,-282.417511,-770.648438,-280.037140,-334.666443,-399.488403,-135.999771,-286.286499,-643.982788,-257.714294,-312.619141,-327.926910,-199.220474,-298.702606,-376.111816,-317.832458,-279.719086,-613.183044,-400.873322,-310.354309,-441.180756,-451.413544,-299.098724,-265.313354,-418.666290
