,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 4301,Unlabeled 4301,Unlabeled 4301,Unlabeled 4302,Unlabeled 4302,Unlabeled 4302,Unlabeled 4303,Unlabeled 4303,Unlabeled 4303,Unlabeled 4304,Unlabeled 4304,Unlabeled 4304,Unlabeled 4305,Unlabeled 4305,Unlabeled 4305,Unlabeled 4306,Unlabeled 4306,Unlabeled 4306,Unlabeled 4307,Unlabeled 4307,Unlabeled 4307,Unlabeled 4308,Unlabeled 4308,Unlabeled 4308,Unlabeled 4309,Unlabeled 4309,Unlabeled 4309
,ID,"656D11BA8CFC447911EF","656D11BA8CFC447911EF","656D11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.267000,-315.315308,-903.127808,-355.356354,-285.439514,-892.187256,-448.395325,-334.340973,-312.485870,-370.445099,-282.688568,-787.532043,-523.707214,-306.232666,-335.600739,-461.650299,-294.400360,-438.358521,-538.641663,-275.048309,-748.596313,-665.721680,-288.657318,-401.814209,-683.574768,-302.123871,-576.342224,-717.373047
33,0.275000,-315.236847,-903.357422,-355.909790,-285.340820,-892.677979,-449.006989,-334.712067,-314.471832,-369.599823,-282.684692,-787.563049,-523.698914,-306.268463,-336.615845,-461.083832,-294.420654,-438.980591,-538.719238,-275.070679,-748.633423,-665.716614,-288.566650,-401.906403,-683.575928,-302.127289,-576.378906,-717.349121
34,0.283000,-315.193817,-903.738953,-356.531128,-285.364471,-893.045532,-449.526337,-334.677856,-316.816925,-368.862366,-282.682007,-787.561462,-523.712769,-306.236023,-337.707520,-460.594055,-294.462616,-439.582794,-538.811707,-275.078766,-748.667480,-665.719299,-288.579224,-401.929260,-683.567810,-302.132751,-576.404968,-717.358337
35,0.292000,-315.170166,-904.191956,-357.123077,-285.287354,-893.436035,-450.154602,-334.642059,-318.891235,-368.078339,-282.688324,-787.523010,-523.722961,-306.312500,-338.752563,-460.049774,-294.426758,-440.088226,-538.979126,-275.059143,-748.676147,-665.739258,-288.600403,-401.974060,-683.506592,-302.132446,-576.418152,-717.384277
36,0.300000,-315.108307,-904.596130,-357.703522,-285.368317,-893.889587,-450.766693,-334.650787,-320.823883,-367.396576,-282.642517,-787.575195,-523.746399,-306.288605,-339.929169,-459.557129,-294.402466,-440.678741,-539.090698,-275.059723,-748.701172,-665.734192,-288.857056,-402.238892,-683.526367,-302.143127,-576.453247,-717.383179
37,0.308000,-315.057068,-904.936707,-358.362061,-285.264496,-894.318237,-451.376770,-334.686493,-323.134155,-366.607635,-282.639801,-787.613892,-523.745911,-306.375458,-341.011719,-459.001556,-294.431732,-441.252472,-539.221497,-275.079742,-748.767822,-665.727539,-288.883606,-402.336273,-683.514282,-302.133667,-576.510681,-717.366638
38,0.317000,-315.011444,-905.331177,-358.960480,-285.208130,-894.719238,-452.039734,-334.645874,-325.449799,-365.791748,-282.653503,-787.586792,-523.740784,-306.389496,-342.176270,-458.504608,-294.459808,-441.771057,-539.359985,-275.058533,-748.796143,-665.730042,-288.886169,-402.377747,-683.516174,-302.130371,-576.526917,-717.372620
39,0.325000,-315.041565,-905.850891,-359.596985,-285.145172,-895.098633,-452.642273,-334.595367,-327.568390,-365.106995,-282.624481,-787.591919,-523.774536,-306.384460,-343.297607,-457.975769,-294.427094,-442.327087,-539.519287,-275.036133,-748.827454,-665.732666,-288.863495,-402.316864,-683.507874,-302.116577,-576.556946,-717.382507
40,0.333000,-314.955078,-906.190613,-360.277557,-285.088013,-895.620056,-453.319122,-334.591522,-329.804291,-364.424103,-282.594086,-787.674805,-523.790100,-306.409302,-344.443909,-457.469727,-294.403870,-443.048859,-539.558655,-275.033508,-748.905090,-665.729675,-288.864532,-402.395538,-683.475830,-302.101166,-576.605225,-717.370056
41,0.342000,-314.861328,-906.570862,-360.924347,-285.028839,-896.126038,-453.995392,-334.517487,-332.198395,-363.674957,-282.597198,-787.724731,-523.800415,-306.371277,-345.570679,-456.910156,-294.368378,-443.673737,-539.729614,-275.047943,-748.998352,-665.736206,-288.830231,-402.410522,-683.480530,-302.092804,-576.653748,-717.352112
42,0.350000,-314.788635,-907.021301,-361.592316,-285.022736,-896.553833,-454.646027,-334.915649,-334.636932,-363.007141,-282.579102,-787.739014,-523.813232,-306.384644,-346.708099,-456.433777,-294.359375,-444.172516,-539.906677,-275.023834,-749.028503,-665.745117,-288.854218,-402.461578,-683.476501,-302.071472,-576.679016,-717.356140
